Date,Est_code,Zone,Site,Rep,Sample_code,Period_code,Sp_code,CL_mm,Sex,Gonad_stage,Gear,Author,Moult_stage,Egg_Stage,Notes/ Label Names,,
181101,PST,,4,8,181101.PST.4.8,201811,PORARM,43,M,IMMATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,8,181101.PST.4.8,201811,PORARM,61,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,8,181101.PST.4.8,201811,PORARM,62,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,4,9,181101.PST.4.9,201811,PORARM,47,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,9,181101.PST.4.9,201811,PORARM,52,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,9,181101.PST.4.9,201811,PORARM,54,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,9,181101.PST.4.9,201811,PORARM,60,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,9,181101.PST.4.9,201811,PORARM,61,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,9,181101.PST.4.9,201811,PORARM,62,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,9,181101.PST.4.9,201811,PORARM,66,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,4,9,181101.PST.4.9,201811,PORARM,69,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181106,LMQ,,4,1,181106.LMQ.4.1,201811,PORARM,90,M,MATURE,BEAM TRAWL,HANAMSETH,SOFT,,,,
181107,LMQ,,1,2,181107.LMQ.1.2,201811,PORARM,56,M,MATURE,BEAM TRAWL,HANAMSETH,HARD,,,,
181107,LMQ,,1,3,181107.LMQ.1.3,201811,PORARM,78,M,MATURE,BEAM TRAWL,HANAMSETH,SOFT,,,,
181107,LMQ,,2,2,181107.LMQ.2.2,201811,PORARM,69,F,MATURE,BEAM TRAWL,HANAMSETH,HARD,,,,
181106,LMQ,,3,1,181106.LMQ.3.1,201811,PORARM,68,F,BERRIED,SMALL,HANAMSETH,HARD,,,,
181106,LMQ,,3,3,181106.LMQ.3.3,201811,PORARM,65,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181106,LMQ,,3,3,181106.LMQ.3.3,201811,PORARM,76,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181106,LMQ,,3,3,181106.LMQ.3.3,201811,PORARM,80,F,BERRIED,SMALL,HANAMSETH,HARD,,,,
181106,LMQ,,3,5,181106.LMQ.3.5,201811,PORARM,59,M,MATURE,SMALL,HANAMSETH,SOFT,,,,
181106,LMQ,,3,5,181106.LMQ.3.5,201811,PORARM,74,F,BERRIED,SMALL,HANAMSETH,HARD,,,,
181106,LMQ,,3,5,181106.LMQ.3.5,201811,PORARM,83,F,BERRIED,SMALL,HANAMSETH,HARD,,,,
181106,LMQ,,3,6,181106.LMQ.3.6,201811,PORARM,72,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181106,LMQ,,3,6,181106.LMQ.3.6,201811,PORARM,73,F,BERRIED,LARGE,HANAMSETH,HARD,,,,
181106,LMQ,,3,6,181106.LMQ.3.6,201811,PORARM,78,F,BERRIED,LARGE,HANAMSETH,HARD,,,,
181106,LMQ,,3,8,181106.LMQ.3.8,201811,PORARM,84,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181106,LMQ,,3,9,181106.LMQ.3.9,201811,PORARM,73,F,BERRIED,SMALL,HANAMSETH,HARD,,,,
181106,LMQ,,4,1,181106.LMQ.4.1,201811,PORARM,75,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181106,LMQ,,4,10,181106.LMQ.4.10,201811,PORARM,90,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181106,LMQ,,4,3,181106.LMQ.4.3,201811,PORARM,71,F,BERRIED,SMALL,HANAMSETH,SOFT,,,,
181106,LMQ,,4,7,181106.LMQ.4.7,201811,PORARM,68,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181106,LMQ,,4,7,181106.LMQ.4.7,201811,PORARM,78,F,BERRIED,SMALL,HANAMSETH,HARD,,,,
181106,LMQ,,4,7,181106.LMQ.4.7,201811,PORARM,88,M,MATURE,SMALL,HANAMSETH,SOFT,,,,
181106,LMQ,,4,8,181106.LMQ.4.8,201811,PORARM,85,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181107,LMQ,,1,10,181107.LMQ.1.10,201811,PORARM,67,M,MATURE,SMALL,HANAMSETH,SOFT,,,,
181107,LMQ,,1,10,181107.LMQ.1.10,201811,PORARM,74,F,MATURE,SMALL,HANAMSETH,SOFT,,,,
181107,LMQ,,1,10,181107.LMQ.1.10,201811,PORARM,76,M,MATURE,SMALL,HANAMSETH,SOFT,,,,
181107,LMQ,,1,10,181107.LMQ.1.10,201811,PORARM,87,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181107,LMQ,,1,3,181107.LMQ.1.3,201811,PORARM,67,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181107,LMQ,,1,3,181107.LMQ.1.3,201811,PORARM,73,M,MATURE,LARGE,HANAMSETH,HARD,,,,
