Location,Year,Month,count,UpWind
32.1806,2014,5,744,-1451.3366683853885
32.1806,2014,6,720,-6112.832057340525
32.1806,2014,7,744,-6503.402487928915
32.1806,2014,8,744,-6738.374071317207
32.1806,2014,9,720,-1876.55533125192
32.1806,2014,10,744,3971.9248559420125
32.1806,2014,11,720,4527.003679173454
32.1806,2014,12,744,5371.678084639845
32.1806,2015,1,744,4387.244023871934
32.1806,2015,2,672,4781.420699044374
32.1806,2015,3,744,1731.4570197524395
32.1806,2015,4,720,-3733.806647377445
32.1806,2015,5,744,-5495.810680077145
32.1806,2015,6,720,-3910.4772766569063
32.1806,2015,7,744,-5838.969600986978
32.1806,2015,8,744,-4365.924754419161
32.1806,2015,9,720,-3299.819860424202
32.1806,2015,10,744,5908.867106307269
32.1806,2015,11,720,4278.420290247325
32.1806,2015,12,744,3914.9320493783785
32.1806,2016,1,744,1743.6546117279074
32.1806,2016,2,696,1601.349372014114
32.1806,2016,3,744,4308.472328447754
32.1806,2016,4,720,918.8145514738001
32.1806,2016,5,744,-2853.847613529847
32.1806,2016,6,720,-3168.2272884453846
32.1806,2016,7,744,-5057.6519631149
32.1806,2016,8,744,-2856.9588833670678
32.1806,2016,9,720,-510.10683194797497
32.1806,2016,10,744,567.5946132584421
32.1806,2016,11,720,2648.9634236810457
32.1806,2016,12,744,7407.721350388391
32.1806,2017,1,744,4745.464319221038
32.1806,2017,2,672,4464.742927089981
32.1806,2017,3,744,-384.2064695577091
32.1806,2017,4,720,-3142.453246271139
32.1806,2017,5,744,-2573.585840806559
32.1806,2017,6,720,-7249.859761488495
32.1806,2017,7,744,-4661.389322937959
32.1806,2017,8,744,-6907.4079473598495
32.1806,2017,9,720,-1848.8367454294068
32.1806,2017,10,744,2887.7887390267997
32.1806,2017,11,720,4945.363406262476
32.1806,2017,12,744,6675.901187199375
32.1806,2018,1,744,2720.946894005836
32.1806,2018,2,672,2180.434470466837
32.1806,2018,3,744,3111.1284158645735
32.1806,2018,4,720,-1812.9510762841903
32.1806,2018,5,744,-5676.547173348427
32.1806,2018,6,720,-6137.580794682053
32.1806,2018,7,744,-2932.3011109024924
32.1806,2018,8,744,-2933.220349718037
32.1806,2018,9,720,497.20213319132114
32.1806,2018,10,744,3537.3016728857024
32.1806,2018,11,720,-18.45548698896807
32.1806,2018,12,744,9141.653243874987
32.1806,2019,1,744,10576.47896891967
32.1806,2019,2,672,5311.9275616295845
