Date and time,Mean Discharge (ML/D),Min Discharge (ML/D),Max Discharge (ML/D)
1/03/2001 8:00,19.902,1.696,223.569
1/04/2001 8:00,797.499,4.269,8647.5
1/05/2001 8:00,11.6,4.25,35.608
1/06/2001 8:00,523.583,3.941,5095.193
1/07/2001 8:00,13.81,5.972,46.153
1/08/2001 8:00,12.074,2.379,147.523
1/09/2001 8:00,5.753,1.25,35.768
1/10/2001 8:00,2.077,0.622,9.966
1/11/2001 8:00,0.416,0.073,0.803
1/12/2001 8:00,21.966,0,554.714
1/01/2002 8:00,1.762,0.134,7.055
1/02/2002 8:00,0.115,0,1.25
1/03/2002 8:00,427.732,0.097,16750.922
1/04/2002 8:00,29.534,0.542,696.105
1/05/2002 8:00,25.391,2.99,522.454
1/06/2002 8:00,2.538,0.709,6.256
1/07/2002 8:00,50.377,2.15,843.139
1/08/2002 8:00,3.015,1.381,7.208
1/09/2002 8:00,1.598,0.665,5.786
1/10/2002 8:00,1.314,0.503,2.379
1/11/2002 8:00,0.048,0,0.542
1/12/2002 8:00,0,0,0
1/01/2003 8:00,45.606,0,1557.227
1/02/2003 8:00,0.733,0,2.236
1/03/2003 8:00,9.613,0,160.031
1/04/2003 8:00,54.695,0.911,2323.733
1/05/2003 8:00,6.235,0.542,60.657
1/06/2003 8:00,846.239,5.305,15043.058
1/07/2003 8:00,23.098,3.328,153.077
1/08/2003 8:00,10.094,4.704,32.38
1/09/2003 8:00,3.118,0.665,5.095
1/10/2003 8:00,1.053,0.397,2.379
1/11/2003 8:00,1.004,0.397,2.093
1/12/2003 8:00,0.347,0,2.674
1/01/2004 8:00,2.054,0.115,35.239
1/02/2004 8:00,5.764,0,783.854
1/03/2004 8:00,29.182,0,848.921
1/04/2004 8:00,110.494,3.941,2704.363
1/05/2004 8:00,2.875,0.503,10.45
1/06/2004 8:00,0.804,0.503,0.956
1/07/2004 8:00,0.594,0.024,0.956
1/08/2004 8:00,0.01,0,0.204
1/09/2004 8:00,0.121,0,0.956
1/10/2004 8:00,0.924,0.024,2.236
1/11/2004 8:00,652.799,0.006,12070.022
1/12/2004 8:00,6.578,0.073,44.737
1/01/2005 8:00,1.798,0.073,52.675
1/02/2005 8:00,36.967,0.003,3214.964
1/03/2005 8:00,27.377,0.279,636.193
1/04/2005 8:00,205.78,0.051,3634.492
1/05/2005 8:00,8.768,0.305,39.982
1/06/2005 8:00,185.989,0.208,7153.228
