lat (degrees_north),lon (degrees_east),time (UTC),old SST,new SST
-32.23,152.61,2009-08-16T09:20:00Z,290.9382,
-32.23,152.61,2009-09-15T21:20:00Z,290.25308,
-32.23,152.61,2009-10-16T09:20:00Z,292.16068,
-32.23,152.61,2009-11-15T21:20:00Z,293.8253,
-32.23,152.61,2009-12-16T09:20:00Z,295.10477,
-32.23,152.61,2010-01-16T09:20:00Z,295.4819,
-32.23,152.61,2010-02-14T21:20:00Z,296.80518,
-32.23,152.61,2010-03-16T09:20:00Z,295.7667,
-32.23,152.61,2010-04-15T21:20:00Z,296.09167,
-32.23,152.61,2010-05-16T09:20:00Z,296.52164,
-32.23,152.61,2010-06-15T21:20:00Z,293.8993,
-32.23,152.61,2010-07-16T09:20:00Z,292.32666,
-32.23,152.61,2010-08-16T09:20:00Z,292.0333,
-32.23,152.61,2010-09-15T21:20:00Z,291.10422,
-32.23,152.61,2010-10-16T09:20:00Z,292.3116,
-32.23,152.61,2010-11-15T21:20:00Z,292.2188,
-32.23,152.61,2010-12-16T09:20:00Z,294.6635,
-32.23,152.61,2011-01-16T09:20:00Z,294.92084,
-32.23,152.61,2011-02-14T21:20:00Z,294.88998,
-32.23,152.61,2011-03-16T09:20:00Z,296.26508,
-32.23,152.61,2011-04-15T21:20:00Z,296.36316,
-32.23,152.61,2011-05-16T09:20:00Z,294.12955,
-32.23,152.61,2011-06-15T21:20:00Z,293.201,
-32.23,152.61,2011-07-16T09:20:00Z,292.36453,
-32.23,152.61,2011-08-16T09:20:00Z,291.42215,
-32.23,152.61,2011-09-15T21:20:00Z,291.4928,
-32.23,152.61,2011-10-16T09:20:00Z,292.36035,
-32.23,152.61,2011-11-15T21:20:00Z,293.35345,
-32.23,152.61,2011-12-16T09:20:00Z,295.08072,296.50952
-32.23,152.61,2012-01-16T09:20:00Z,297.3378,295.96768
-32.23,152.61,2012-02-15T09:20:00Z,295.61115,296.31113
-32.23,152.61,2012-03-16T09:20:00Z,296.07312,297.01233
-32.23,152.61,2012-04-15T21:20:00Z,297.17352,294.94595
-32.23,152.61,2012-05-16T09:20:00Z,295.1422,293.6633
