Location,Year,Month,count,DownWind
32.1806,2006,6,720,-6086.174131689799
32.1806,2006,7,744,-7023.691657525977
32.1806,2006,8,744,273.5442583020141
32.1806,2006,9,720,339.94158505543476
32.1806,2006,10,744,5859.511052980448
32.1806,2006,11,720,3432.932711982569
32.1806,2006,12,744,6013.943173991595
32.1806,2007,1,744,4858.8842469233705
32.1806,2007,2,672,4453.924193337825
32.1806,2007,3,744,6039.292952097119
32.1806,2007,4,720,2577.616349459329
32.1806,2007,5,744,-6489.86139306919
32.1806,2007,6,720,-13683.895074183012
32.1806,2007,7,744,-16446.278425566383
32.1806,2007,8,744,-2383.6216040407926
32.1806,2007,9,720,1649.7508311863312
32.1806,2007,10,744,-776.5093117600017
32.1806,2007,11,720,5354.742877230433
32.1806,2007,12,744,9814.81889956458
32.1806,2008,1,744,14593.517237501379
32.1806,2008,2,696,8641.622683558922
32.1806,2008,3,744,3946.398301141183
32.1806,2008,4,720,9350.143678307842
32.1806,2008,5,744,-5731.171172195087
32.1806,2008,6,720,-7894.175460505685
32.1806,2008,7,744,-13424.351530148491
32.1806,2008,8,744,-16235.525249433733
32.1806,2008,9,720,3311.168924262254
32.1806,2008,10,744,1904.8396024993806
32.1806,2008,11,720,528.8451616494135
32.1806,2008,12,744,2358.5900239867888
32.1806,2009,1,744,4335.660584184376
32.1806,2009,2,672,12094.07154270224
32.1806,2009,3,744,11706.188117882357
32.1806,2009,4,720,4291.749253072692
32.1806,2009,5,744,7130.924400892922
32.1806,2009,6,720,-10189.444072237211
32.1806,2009,7,744,-11868.04486009596
32.1806,2009,8,744,-11788.071083143752
32.1806,2009,9,720,-12750.938387085487
32.1806,2009,10,744,3292.183107187392
32.1806,2009,11,720,5255.35901913467
32.1806,2009,12,744,7221.822977614451
32.1806,2010,1,744,3873.424881322732
32.1806,2010,2,672,8416.65666112443
32.1806,2010,3,744,6254.819099002783
32.1806,2010,4,720,-2912.360699673035
32.1806,2010,5,744,-7633.146992230666
32.1806,2010,6,720,-5390.699257053769
32.1806,2010,7,744,-7782.381878400081
32.1806,2010,8,744,-19587.21139225797
32.1806,2010,9,720,-4249.110714167142
32.1806,2010,10,744,3898.5625273939204
32.1806,2010,11,720,2067.3327408160376
32.1806,2010,12,744,-1632.886334455034
32.1806,2011,1,744,9709.601410524028
32.1806,2011,2,672,6601.442843140436
32.1806,2011,3,744,3514.7096112268023
32.1806,2011,4,720,8466.613755215254
32.1806,2011,5,744,-6592.95756176619
32.1806,2011,6,720,1267.8071033284182
32.1806,2011,7,744,-13414.699522585292
32.1806,2011,8,744,-2617.815369969779
32.1806,2011,9,720,-4032.629973106889
32.1806,2011,10,744,5383.274635851307
32.1806,2011,11,720,5564.541459208487
32.1806,2011,12,744,13141.897726403531
32.1806,2012,1,744,10432.971647677863
32.1806,2012,2,696,6179.9364908751395
32.1806,2012,3,744,5696.275452543529
32.1806,2012,4,720,300.37896064804244
32.1806,2012,5,744,-8448.052202209105
32.1806,2012,6,720,-5194.158927222964
32.1806,2012,7,744,-6770.193876470605
32.1806,2012,8,744,-12759.847932528432
32.1806,2012,9,720,-5239.661248592317
32.1806,2012,10,744,3613.8813372882123
32.1806,2012,11,720,8318.33346320044
32.1806,2012,12,744,6522.211528308493
32.1806,2013,1,744,6546.182448190715
32.1806,2013,2,672,11268.771863040361
32.1806,2013,3,744,8240.69313862615
32.1806,2013,4,720,-756.2507024790134
32.1806,2013,5,744,-3401.2189728463563
32.1806,2013,6,720,-7958.1332688640105
32.1806,2013,7,744,-7725.848691244224
32.1806,2013,8,744,-15026.796917673446
32.1806,2013,9,720,-6033.883585221043
32.1806,2013,10,744,-774.7061894679822
32.1806,2013,11,720,6849.637323336912
32.1806,2013,12,744,3772.5560989864694
32.1806,2014,1,744,7486.98802055941
32.1806,2014,2,672,6938.308513697702
32.1806,2014,3,744,523.7539928248696
32.1806,2014,4,720,404.6418555339992
32.1806,2014,5,744,-10534.688958151546
32.1806,2014,6,720,-12621.325714093986
32.1806,2014,7,744,-14834.393162512586
32.1806,2014,8,744,2755.1708622152632
32.1806,2014,9,720,-2373.439266391701
32.1806,2014,10,744,1973.994645699422
32.1806,2014,11,720,6332.247291542714
32.1806,2014,12,744,6383.052913770969
32.1806,2015,1,744,5417.215761348265
32.1806,2015,2,672,9259.032969551947
32.1806,2015,3,744,7695.19561227978
32.1806,2015,4,720,-5989.760122075004
32.1806,2015,5,744,-6074.082605731499
32.1806,2015,6,720,-5213.250810315005
32.1806,2015,7,744,-13851.479381324225
32.1806,2015,8,744,-11614.12281497187
32.1806,2015,9,720,1009.8545495515656
32.1806,2015,10,744,2551.099845164831
32.1806,2015,11,720,7905.524524343721
32.1806,2015,12,744,10171.62498135132
32.1806,2016,1,744,7587.538604844132
32.1806,2016,2,696,10930.845532311316
32.1806,2016,3,744,1076.145810287812
32.1806,2016,4,720,5901.513195782933
32.1806,2016,5,744,-14012.699727434756
32.1806,2016,6,720,-15199.578459656372
32.1806,2016,7,744,-15913.296689247021
32.1806,2016,8,744,-3568.8032799875627
32.1806,2016,9,720,-13272.677125583974
32.1806,2016,10,744,-4964.101735963922
32.1806,2016,11,720,-363.3821748517664
32.1806,2016,12,744,2838.538751717166
32.1806,2017,1,744,6528.787621373516
32.1806,2017,2,672,6228.4086607254685
32.1806,2017,3,744,7828.414529855338
32.1806,2017,4,720,3069.1262730620865
32.1806,2017,5,744,-3403.658491241449
32.1806,2017,6,720,-524.9207190138384
32.1806,2017,7,744,-17067.294956143465
32.1806,2017,8,744,-11631.517641789058
32.1806,2017,9,720,-10339.633552561234
32.1806,2017,10,744,5533.358050158159
32.1806,2017,11,720,11304.091846760628
32.1806,2017,12,744,2438.1395368702715
32.1806,2018,1,744,5685.350652774201
32.1806,2018,2,672,11081.141078652507
32.1806,2018,3,744,11109.354639221849
32.1806,2018,4,720,308.2278459192145
32.1806,2018,5,744,-10455.033379250875
32.1806,2018,6,720,-6152.571458443214
32.1806,2018,7,744,-12546.973436052216
32.1806,2018,8,744,-10536.810278495097
32.1806,2018,9,720,3915.639156159582
32.1806,2018,10,744,8731.990930194559
32.1806,2018,11,720,464.99341930828564
32.1806,2018,12,744,97.47466978657556
32.1806,2019,1,744,-872.499057306082
32.1806,2019,2,672,9750.436827137552
